,timestamp,open,high,low,close,volume,RSI_14,sma_7,RSI_Trend,ub,mb,lb,ub_tren,lb_tren,3_ub_point,3_lb_point,divergence_angle,divergence_col
40,2020-04-22 15:00:00,1369.65,1374.95,1356.9,1362.0,2311514,69.53409306189145,1362.5271428571432,-5.150775885057314,1383.2700557648318,1346.1139999999996,1308.9579442351674,0.0,5.0,"1380.9088724809742,1383.0873295992958,1383.2700557648318","1300.279127519025,1304.0156704007034,1308.9579442351674",16.880283525126572,
39,2020-04-22 15:15:00,1362.0,1366.2,1355.55,1358.3,1932050,66.96050452559862,1361.8428571428574,-2.5735885362928315,1382.3948285406507,1348.3889999999997,1314.3831714593487,-1.0,5.0,"1383.0873295992958,1383.2700557648318,1382.3948285406507","1304.0156704007034,1308.9579442351674,1314.3831714593487",8.051334500042714,
38,2020-04-23 09:15:00,1369.1,1374.2,1357.3,1361.35,0,68.01154017726526,1362.8357142857146,1.0510356516666377,1382.3279597491828,1350.3939999999996,1318.4600402508163,-0.0,4.0,"1383.2700557648318,1382.3948285406507,1382.3279597491828","1308.9579442351674,1314.3831714593487,1318.4600402508163",10.742513097527677,
37,2020-04-23 09:30:00,1367.4,1369.9,1367.2,1369.9,4505701,70.81441323344056,1364.0785714285716,2.802873056175301,1383.0182450482125,1352.7489999999996,1322.4797549517866,1.0,4.0,"1382.3948285406507,1382.3279597491828,1383.0182450482125","1314.3831714593487,1318.4600402508163,1322.4797549517866",4.433004118985139,
36,2020-04-23 09:45:00,1369.65,1374.5,1369.4,1370.7,366956,71.06984179797075,1365.3428571428574,0.2554285645301917,1384.7983110709617,1354.4089999999997,1324.0196889290376,2.0,2.0,"1382.3279597491828,1383.0182450482125,1384.7983110709617","1318.4600402508163,1322.4797549517866,1324.0196889290376",19.116029789322994,
35,2020-04-23 11:45:00,1363.7,1365.0,1363.1,1365.0,7103314,66.59756248104905,1365.2000000000003,-4.4722793169217,1384.9173611577446,1356.0389999999995,1327.1606388422545,0.0,3.0,"1383.0182450482125,1384.7983110709617,1384.9173611577446","1322.4797549517866,1324.0196889290376,1327.1606388422545",17.92065145383819,
34,2020-04-23 13:00:00,1376.4,1376.5,1370.1,1376.3,4831169,70.55362929135237,1366.2214285714288,3.9560668103033123,1385.7905012244225,1358.3664999999996,1330.9424987755767,1.0,4.0,"1384.7983110709617,1384.9173611577446,1385.7905012244225","1324.0196889290376,1327.1606388422545,1330.9424987755767",7.407918363540574,
33,2020-04-23 13:15:00,1376.7,1377.8,1367.0,1370.45,919503,66.18347161092598,1367.4285714285718,-4.370157680426388,1384.2012379741739,1360.5214999999996,1336.8417620258253,-2.0,6.0,"1384.9173611577446,1385.7905012244225,1384.2012379741739","1327.1606388422545,1330.9424987755767,1336.8417620258253",23.671407457741708,
32,2020-04-23 13:30:00,1370.11,1370.88,1360.97,1367.51,1080144,64.03671436840695,1368.7442857142862,-2.1467572425190298,1381.7311685212535,1362.3369999999995,1342.9428314787456,-2.0,6.0,"1385.7905012244225,1384.2012379741739,1381.7311685212535","1330.9424987755767,1336.8417620258253,1342.9428314787456",5.514917309708807,
31,2020-04-23 13:45:00,1367.35,1371.45,1362.05,1370.25,690256,65.17059506797516,1370.0157142857147,1.1338806995682091,1379.6970121574711,1363.9794999999995,1348.2619878425278,-2.0,5.0,"1384.2012379741739,1381.7311685212535,1379.6970121574711","1336.8417620258253,1342.9428314787456,1348.2619878425278",5.575514162044868,
30,2020-04-23 14:00:00,1370.8,1374.8,1368.8,1373.9,815846,66.67778786693009,1370.5871428571431,1.5071927989549323,1379.647758577289,1365.2774999999997,1350.9072414227103,-0.0,3.0,"1381.7311685212535,1379.6970121574711,1379.647758577289","1342.9428314787456,1348.2619878425278,1350.9072414227103",24.23796218889916,
